"KEY","ENGLISH","FRENCH","SPANISH"
"jsp.queues.assignment","ASSIGNMENT","ASSIGNATION","TAREA"
"jsp.queues.assignTo","Assigned To","Assigné à","Asignado a"
"jsp.queues.avgTime.assign","Average time to assign","Durée moyenne pour obtenir une assignation ","Tiempo promedio de asignación "
"jsp.queues.avgTimeComplete","Average time to completion","Durée moyenne jusqu'à la terminaison ","Tiempo promedio de terminación"
"jsp.queues.claimThis","CLAIM THIS","APPROPRIATION DE CE TRAVAIL","RECLAMAR ESTO"
"jsp.queues.content","CONTENT","CONTENU","CONTENIDO"
"jsp.queues.days","days","jours","días"
"jsp.queues.high","High","Attente de longue durée","Alto"
"jsp.queues.inQueue","IN QUEUE","En attente","EN FILA"
"jsp.queues.iWantThis","I Want This","Je souhaiterais faire ce travail","Quiero esto"
"jsp.queues.low","Low","Attente de courte durée","Bajo"
"jsp.queues.medium","Medium","Attente de durée moyenne","Medio"
"jsp.queues.noAssign","Not Assigned","Non assigné","No asignado"
"jsp.queues.noQuenes","No queues available for you at this time","Pour le moment, pas de disponibilité pour vous dans la file d'attente","Ninguna fila para usted en este momento"
"jsp.queues.pagetitle","Indaba Builder | Queues","Système de numération d'Indaba | File d'attente","Generador Indaba | Filas"
"jsp.queues.returnToQueue","Return To Queue","Retour dans la file d'attente","Volver a la fila"
"jsp.queues.setAssignment","SET ASSIGNMENT","ÉTABLIR UNE ASSIGNATION","ESTABLECER TAREA"
"jsp.queues.setPriority","SET PRIORITY","ÉTABLIR UNE PRIORITÉ","ESTABLECER PRIORIDAD"
"jsp.queues.update.assign","Update Assignment","Mise à jour de l'assignation ","Actualización de asignación"
"jsp.replyMessage.forwardMessage","Forward Message",,"Mensaje reenviado"
"jsp.replyMessage.pagetitle","Indaba Builder | Reply Message","Numération d'Indaba  | Message de réponse","Generador Indaba | Respuesta"
"jsp.replyMessage.prjUpdate","Send to Project Updates","Envoyer aux mises à jour du projet","Enviar a actualización de proyectos"
"jsp.replyMessage.replyMessage","Reply Message","Message de réponse","Responder mensaje"
"jsp.ruleManager.pagetitle","Indaba Builder | Rule Manager","Numération d'Indaba  | Directeur de règlementation","Generador Indaba | Administrador de reglas"
"jsp.ruleManager.path","Path","Voie d'accès","Ruta"
"jsp.ruleManager.ruleComponents","RULE COMPONENTS","ÉLÉMENTS DU RÈGLEMENT","COMPONENTES DE REGLAS"
"jsp.ruleManager.ruleFiles","RULE FILES","FICHIER CONCERNANT LES RÈGLEMENTS","ARCHIVOS DE REGLAS"
"jsp.scorecardDisplay.pagetitle","Indaba Builder | Scorecard","Numération d'Indaba  | Outil de révision d'un sondage faisant partie du système","Generador Indaba | Tabla de marcadores"
"jsp.scorecardIndicatorSearch.tags","INDICATOR TAGS","ÉTIQUETTES D'INDICATEUR","ETIQUETAS INDICADORAS"
"jsp.scorecardNav.indicatorTags","Indicator Tags","Étiquettes d'indicateur ","Etiquetas indicadoras"
"jsp.scorecardNav.nav","Scorecard Indicator Navigator","Navigateur pour indicateur d'outil de révision de sondage","Navegador guía para tarjeta de puntuación"
"jsp.scorecardNav.questionList","Survey Review Question List","Liste de questions servant à la révision de sondage","Lista de preguntas de revisión de encuesta"
"jsp.scorecardNav.readOnly","(Read Only View)","(Visualisation à lecture seulement)","(Modo sólo de lectura)"
"jsp.scorecardNav.sendQuestions","Send Questions",,"Enviar preguntas"
"jsp.scorecardNav.submitQuestion","Submit Questions","Présentation de questions","Enviar preguntas"
"jsp.scorecardPRDisagree.list","Survey Review Disagreement List","Liste de conflits d'opinion concernant la révision du sondage","Lista de desacuerdos de revisión de encuesta"
"jsp.sidebar.h3","Targets","Cibles","Objetivos"
"jsp.sidebar.loadanswer","loading answer...","Téléchargement de la réponse","cargando respuesta…"
"jsp.sourceWidgetText.sourcedesc","Identify and describe name(s) and section(s) of the applicable law(s), statute(s), regulation(s), constitutional provision(s). Provide a web link to the source(s) if available.","Identifiez et décrivez le ou les noms et sections de la loi ( des lois) applicables, des statuts, des règlements et des dispositions inscrites dans la constitution. Fournir un lien de la Web pour avoir accès aux sources d'informations, le cas échéant.","Identifica y describe el (los) nombre(s) y secciones de la(s) ley(es) aplicable(s), estatuto(s), regulación(es), disposiciones constitucionales. Proporciona un enlace a la(s) fuente(s) si está disponible."
"jsp.sourceWMChoice.sources.acadamic","Acadamic, ...","Rapport académique, …","Académico…"
"jsp.sourceWMChoice.sources.civilSociety","Interviews with civil society","Entretiens auprés de la société civile","Entrevistas con la sociedad civil"
"jsp.sourceWMChoice.sources.desc","Identify two or more of the following sources to support your score.","Identifier deux ou plusieurs parmi les sources énoncées ci-dessous pour soutenir votre opinion sur le sondage","Identifique dos o más de las siguientes fuentes para apoyar su puntuación."
"jsp.sourceWMChoice.sources.govOfficial","Interviews with government officials","Entretiens avec des fonctionnaires du gouvernement ","Entrevistas con funcionarios del gobierno"
"jsp.sourceWMChoice.sources.govStudy","Government studies","Études réalisées par le gouvernement","Estudios del gobierno"
"jsp.sourceWMChoice.sources.interAcadamic","Interviews with acadamics","Entretiens avec des universitaires","Entrevistas con académicos"
"jsp.sourceWMChoice.sources.journal","Interviews with journalists","Entretiens avec des journalistes","Entrevistas con periodistas"
"jsp.sourceWMChoice.sources.organic","International organization studies","Études réalisées par des organisations internationales","Estudios de organizaciones internacionales"
"jsp.sourceWMChoice.sources.report","Media Reports (...)","Rapports des media (…)","Reportes de los medios (…)"
"jsp.surveryAnsBar.add.question","Add to Question List","Ajoutez une question à la liste","Agregar a la lista de preguntas"
"jsp.surveryAnsBar.question.list","Question List","Liste de questions ","Lista de preguntas"
"jsp.surveryAnsDisp.answerFrom","Answer from","Réponse de la part de","Respuesta de"
"jsp.surveryAnsDisp.pagetitle","Indaba Builder | Scorecard Answer View","Numération d'Indaba  | Visualisation des réponses au moyen de l'outil de évision du sondage ","Generador Indaba | Vista de respuesta de tarjeta de puntuación"
"jsp.surveryAnsOrig.pagetitle","Indaba Builder | Survey Answer Original","Réponse initiale du sondage","Generador Indaba | Respuesta de la encuesta original"
"jsp.surveryAnsOrig.taskName","Task Name","Nom de la tâche","Nombre de la tarea"
"jsp.surveryAnsPR.agree","Do you agree?","Êtes-vous d'accord ?","¿Estás de acuerdo?"
"jsp.surveryAnsPR.opinion.1","Yes, I agree with the score and have no comments to add.","Oui, je suis d'accord avec l'outil d'évaluation et je n'ai pas de commentaires à ajouter","SÍ, estoy de acuerdo con el marcador y no tengo comentarios que agregar."
"jsp.surveryAnsPR.opinion1.desc","Please avoid the use of ""see previous comment"" or ""see comment to indicator X"". <br/> <b>Reviewer's Comments:(required)</b><br/> <font color=""red""><b>DO NOT</b></font> enter scoring change or private comments to project managers here, just rationale and background. These comments <font color=""red""><b>will be published</b></font> by default.","Veuillez éviter l'usage de l'expression ""se reporter au commentaire antérieur"" ou "" voir commentaire concernant l'indicateur X"". </p> <p> <b> Commentaires de la personne qui révise  le travail:(obligatoire)</b><br/><font color=""red""><b>NE PAS CHANGER </b></font> introduire le changement de qualification ","Por favor, evita el uso de ""ver el comentario previo"" o ""ver el comentario para el indicador X"". <br/> <b>Comentarios del revisor:(requerido)</b><br/> <font color=""red""><b>DO NOT</b></font> ingresa aquí cambios en la puntuación o comentarios privados para los administradores de proyecto, sólo fundamentos y contexto. Estos comentarios <font color=""red""><b>serán published</b></font> por defecto."
"jsp.surveryAnsPR.opinion2.desc","Please provide your suggested scoring change as well as comments supporting your change (supporting comments are required). These comments will be published in our final report. Avoid the use of ""see previous comment"" or ""see comment to indicator X."" If you wish to send staff other feedback about this indicator that you do NOT want to be published, please use the separate Comments box below to submit that feedback.","Veuillez indiquer les raisons de votre changement de qualification ainsi que les commentaires qui le justifient ( ces justifications sont obligatoires). Evitez l'usage de l'expression ""se reproter au commentaire antérieur"" ou "" voir commentaire su sujet de l'indicateur X"". Si vous envoyez au personnel un autre retour d'information concernant cet indicateur et ne souhaitez PAS qu'il soit publié, utilisez une case de commentaires séparée en dessous prévue pour envoyer ce retour d'information.","Por favor ingresa  tu propuesta de cambio de puntuación, así como comentarios que sustenten la modificación (los argumentos son obligatorios). Estos comentarios serán publicados en nuestro reporte final. Evita el uso de “ver comentario previo” o “ver comentario den el indicador X”. Si deseas enviar al personal retroalimentación sobre este indicador y NO deseas que sea publicada, por favor utiliza la caja de comentarios separados que se encuentra a continuación."
"jsp.surveryAnsPR.opinions","Your Opinions","Votre opinion","Tus opiniones"
"jsp.surveryAnsPRDisp.opinion","OPINION","OPINION","OPINION"
"jsp.surveryAnsPRDisp.opinion.1","YES, I agree with the score and have no comments to add.","Oui, je suis d'accord avec l'outil d'évaluation et je n'ai pas de commentaires à ajouter","SÍ, estoy de acuerdo con el marcador y no tengo comentarios que agregar."
"jsp.surveryAnsPRDisp.opinion1.desc","<p>Please avoid the use of ""see previous comment"" or ""see comment to indicator X"".</p> <p> <b>Reviewer's Comments:(required)</b><br/> <font color=""red""><b>DO NOT</b></font> enter scoring change or private comments to project managers here, just rationale and background. These comments <font color=""red""><b>will be published</b></font> by default. </p>","Veuillez éviter l'usage de l'expression ""se reporter au commentaire antérieur"" ou "" voir commentaire concernant l'indicateur X"". </p> <p> <b> Commentaires de la personne qui révise  le travail:(obligatoire)</b><br/><font color=""red""><b>NE PAS CHANGER </b></font> introduire le changement de qualification ","Por favor, evita el uso de ""ver el comentario previo"" o ""ver el comentario para el indicador X"". <br/> <b>Comentarios del revisor:(requerido)</b><br/> <font color=""red""><b>DO NOT</b></font> ingresa aquí cambios en la puntuación o comentarios privados para los administradores de proyecto, sólo razones y contexto. Estos comentarios <font color=""red""><b>serán published</b></font> por defecto."
"jsp.surveryAnsPRDisp.opinion2.desc","Please provide your suggested scoring change as well as comments supporting your change (supporting comments are required). These comments will be published in our final report. Avoid the use of ""see previous comment"" or ""see comment to indicator X."" If you wish to send staff other feedback about this indicator that you do NOT want to be published, please use the separate Comments box below to submit that feedback.","<p>Veuillez introduire le changement de votre qualification ainsi que les commentaires qui justifient votre changement . Indiquez seulement qualifications OUI/NON (pour les indicateur du cadre juridique) et  les qualifications 0, 25, 50, 75, ou 100  pour les indicateurs de ""pratiques habituelles"". Ne mentionnez pas le changement de qualifications que vous avez suggéré dans la Case de Commentaires ( nous visualiserons votre changement de qualifications dans la case de Changement de Qualification). Évitez l'usage de l'expression "" se reporter au commentaire antérieur"" ou ""voir commentaire concernant l'indicateur X"". </p> <p> <b>Commentaires de la personne qui révise:(obligatoire)</b><br/> Ces commentaires <font color=""red""><b> seront publiés </b></font> par défaut. </p> À ce stade, n'introduisez pas de commentaires personnels destinés au directeur de projets, présentez uniquement les raisons et les antécédents de votre exposé. </p>","<p>Por favor ingresa tu propuesta de cambio de puntuación, así como argumentos para sustentar dicho cambio. Sólo se permiten puntuaciones SÍ/NO (para indicadores ""en ley"") y puntuaciones de 0, 25, 50, 75, o 100 (para indicadores ""en práctica""). No necesitas mencionar el cambio de puntuación en la caja de Comentarios (nosotros lo veremos en la caja de Sugerencias de cambio de puntuación); por favor utiliza la caja de Comentarios sólo para ingresar el comentario que apoye tu propuesta de cambio de puntuación. Evita el uso de ""ver el comentario previo"" o ""ver el comentario para el indicador X"". </p> <p> <b>Comentarios del revisor (obligatorios) </b><br/> <font color=""red""><b>DO NOT</b></font> ingresa aquí cambios en la puntuación o comentarios privados para los administradores de proyecto, sólo razones y contexto. Estos comentarios <font color=""red""><b>serán publicados </b></font> por defecto. </p>"
"jsp.surveyAnswer.title","Indaba Builder | Survey Answer","Système de numération d'Indaba | Réponse du sondage","Generador Indaba | Respuesta de la encuesta"
"jsp.surveyOverallRev.pagetitle","Indaba Builder | Survey Overall Review","Système Indaba  | Révision générale du sondage ","Generador Indaba | Revisión general de la encuesta"
"jsp.userfinder.add.caseSubject","Case Subject","Thème de l'affaire","Asunto del caso"
"jsp.userfinder.add.error","ERROR","ÉRREUR","ERROR"
"jsp.userfinder.add.roleChoose","Choose Role ...","Sélectionner un rôle…","Elegir rol…"
"jsp.userfinder.add.userChoose","Choose Assigned User ...","Sélectionner un utilisateur assigné","Elegir usuario asignado"
"jsp.userfinder.noData","No User Trigger Defined.","Aucune indication d' utilisateur du déclencheur ","No hay un activador de usuario definido."
"jsp.userfinder.pagetitle","Indaba User Finder Trigger","Déclencheur du système de recherche des utilisateurs d'Indaba","Activador de búsqueda de usuarios Indaba"
"jsp.userfinder.viewList","View User Tirgger List","Visualiser la liste des utilisateurs du déclencheur","Ver la lista de activación de usuarios"
"jsp.widget1.dt","Please choose your language","Veuillez choisir votre langue","Por favor selecciona tu idioma"
"jsp.widget1.pagetitle","Indaba Builder | Widget #1","Système d'Indaba | widget #1","Generador Indaba | Widget #1"
"jsp.widget2.chocolate","Chocolate","Chocolat","Chocolate"
"jsp.widget2.chooseflavor","Choose your favorite ice cream flavor","Sélectionnez votre parfum favori de glace","Selecciona tu sabor de helado favorito"
"jsp.widget2.entername","Enter your name","Introduisez votre nom","Ingrese su nombre"
"jsp.widget2.strawberry","Strawberry","Fraise","Fresa"
"jsp.widget2.title","Indaba Builder | Widget #2","Système d'Indaba | widget #2","Generador Indaba | Widget #2"
"jsp.widget2.vanilla","Vanilla","Vanille","Vainilla"
"jsp.widget3.clicklinks","click links below","Cliquez sur les liens ci-dessous","haz click en los siguientes enlaces "
"jsp.widget3.gotojournal","Go to journal 4","Ouvrez le journal 4",
"jsp.widget3.pagetitle","Indaba Builder | Widget #3","Système d'Indaba | widget #3","Generador Indaba | Widget #3"
"jsp.workflowConsole.goals","Workflows / Goals / Tasks","Déoulement du travail / buts à atteindre / tâches","Flujos de trabajo / Metas / Tareas"
"jsp.workflowConsole.goals.sequence","SEQUENCE","SÉQUENCE","SECUENCIA"
"jsp.workflowConsole.goals.target","WORKFLOW - TARGET / OBJECT","DÉROULEMENT DU TRAVAIL / CIBLE / OBJET","FLUJO DE TRABAJO - OBJETIVO / PROPÓSITO"
"jsp.workflowConsole.goals.task","TASK","TÂCHE","TAREA"
"jsp.workflowConsole.goals.user","USER","UTILISATEUR","USUARIO"
"jsp.workflowConsole.pagetitle","Indaba Builder | Workflow Console","Système de numération d'Indaba | Console de rythme de travail ","Generador Indaba | Consola de flujo de trabajo"
"jsp.workflowConsole.workflowObjects","Workflow Objects","Objets servant au déroulement du travail","Propósitos del flujo de trabajo"
"jsp.workflowConsole.workflowObjects.object","WORKFLOW - OBJECT","DÉROULEMENT DU TRAVAIL - OBJET","FLUJO DE TRABAJO - PROPÓSITO"
"jsp.workflowConsole.workflowObjects.startTime","START TIME","HEURE D'INITIALISATION DU TRAVAIL","HORA DE INICIO"
"jsp.workflowConsole.workflowObjects.target","WORKFLOW - TARGET","Cible pour le déroulement du travail ","FLUJO DE TRABAJO - OBJETIVO"
"jsp.workflowConsole.workflows","Workflows","Déroulement du travail","Flujos de trabajo"
"jsp.workflowConsole.workflows.createdAt","CREATED AT","CRÉÉ À","CREADO EN"
"jsp.workflowConsole.workflows.createdBy","CREATED BY","CRÉÉ PAR","CREADO POR"
"jsp.workflowConsole.workflows.description","DESCRIPTION","DESCRIPTION","DESCRIPCIÓN"
"jsp.workflowConsole.workflows.duration","DURATION","DURÉE","DURACIÓN"
"jsp.workflowConsole.workflows.id","ID","IDENTITÉ","ID"
"jsp.workflowConsole.workflows.runAll","Run All","Exécuter tout","Ejecutar todo"
"jsp.yourcontent.adminAnnounce","Administrator Announcement","Déclaration de l'administrateur","Aviso del administrador"
"jsp.yourcontent.bar.assignments","Your Assignments","Vos assignations","Tus tareas"
"jsp.yourcontent.deadline","New Deadline (YYYY-MM-DD)","Nouveau délai ( YYYY-MM-DD )","Nueva fecha límite (AAAA-MM-DD)"
"jsp.yourcontent.pagetitle","Indaba Builder | Your Content","Système Indaba  | Votre contenu","Generador Indaba | Tu contenido"
"jsp.yourcontent.sponsors","Sponsors","Sponsors","Patrocinadores"
"common.js.alert.remove.question","Are you sure to remove this from the Question List?",,"¿Está seguro de querer remover esta pregunta de la lista?"
"common.js.alert.add.all.questions","Are you sure to add all questions in the scorecard to the Question List?",,"¿Está seguro de querer agregar todas las preguntas en la tabla de resultados a la Lista de Preguntas? "
"common.js.alert.add.tagged.questions","Are you sure to add the tagged questions to the Question List?",,"¿Está seguro de querer agregar las preguntas etiquetadas a la Lista de Preguntas? "
"common.msg.setdeadlinefor","Set deadline for ",,"Fecha límite "
"common.js.alert.deleteassignment","Are you sure to delete this assignment?",,"¿Está seguro de querer borrar esta tarea?"
"jsp.queueFilter.assignmentStatusExp","Meanings of status:
OVER – the task can no longer be worked on: either it is completed or the gaol has passed
STARTING – the task is about to be started and is waiting for a user to be assigned immediately;
INFLIGHT – the task is being worked on
INACTIVE – the task has not been activated",,"Significados de status:

FINALIZADO – Ya no se puede trabajar en el proyecto. Se ha completado o el objetivo se ha alcanzado.
INICIANDO – El proyecto está a punto de comenzar y se espera la asignación de un usuario inmediatamente.
EN TRAYECTO – Se está trabajando en el proyecto
INACTIVO – El proyecto no ha sido activado. "
"common.label.content","Content",,
"common.label.scores","Scores",,
"common.label.sources","Sources/Citations",,
"common.label.comments","Comments/Notes",,
"common.label.attachments","Attachments",,
"common.label.opinions","Opinions",,
"common.label.inactive","Inactive","Non Activé","Inactivo"
"common.label.queue_action","Please Choose Action",,"Por favor escoja la acción"
"jsp.msg.show.starting.tasks","Manage tasks about to start and waiting for IMMEDIATE user assignment",,"Administrar las tareas a punto de empezar y esperando por asignación inmediata de usuario"
"jsp.msg.show.all.tasks","Manage all tasks",,"Administrar todas las tareas"
"common.js.priority.low","Low","Attente de courte durée","Bajo"
"common.js.priority.medium","Medium","Attente de durée moyenne","Medio"
"common.js.priority.high","High","Attente de longue durée","Alto"
"common.js.questions.sent","Questions sent to {0}",,"Enviado {0}"
"common.msg.contentVersion","Content Version:",,"Versión del Contenido: "
"jsp.tool.purpose.common","By clicking on this button, you will not be able to edit your information again unless a) someone sends you questions about it through Indaba or b) you have special rights to edit your content at any time (your project manager can confirm this).",,"Usted no podrá editar su información de nuevo luego de pulsar este botón a menos que: a) Alguien le envíe preguntas a través de Indaba o b) Usted tenga privilegios especiales para editar su contenido en cualquier momento (el gerente del proyecto puede confirmarle si usted tiene dichos privilegios). "
"jsp.tool.inactive.survey.create","You must enter and save all questions in order to complete the assignment. If you are not supposed to fill out your score choices, please contact your Project Manager.",,"Usted debe ingresar y salvar todas las preguntas para poder completar la asignación. Si usted no debe llenar las respuestas, por favor contacte a su gerente de proyecto. "
"jsp.tool.inactive.survey.edit","You must edit and Save each question first before being able to complete your assignment.",,"Usted debe editar y guardar cada pregunta para poder terminar su asignación. "
"jsp.tool.inactive.survey.review","You have not reviewed all questions; you must review all questions in
order to complete the assignment. If you are not supposed to fill out
your score choices, please contact your Project Manager.",,"Usted no ha revisado todas las preguntas; usted debe revisarlas todas para completar la asignación. Si usted no debe llenar las respuestas, por favor contacte a su gerente de proyecto. "
"common.err.already_exists_ta","The selected user has been assigned to this task already. Please choose a different user.",,
"common.err.nopermission_update_queue","You have no permission to update this queue.",,
"jsp.table.err.invalid.value","Invalid value at cell [row={0}, column={1}].",,
"jsp.table.err.value.out.of.bound","Value at cell [row={0}, column={1}] is out of bound. It must be between {2} and {3}.",,
"jsp.table.err.text.not.enough.data","Text at cell [row={0}, column={1}] does not have enough data. It must have at least {2} characters.",,
"jsp.table.err.text.too.much.data","Text at cell [row={0}, column={1}] has too much data. It must have no more than {2} characters.",,
,,,
"comm.panel.msg.invalid.project","The project is invalid.",,
"comm.panel.msg.user.not.in.project","You are not a member of the project.",,
"comm.panel.msg.bad.noteobj","Invalid note object.",,
"comm.panel.msg.bad.language","Unsupported language.",,
"comm.panel.msg.note.removed","This note has been removed. Please contact your Project Admin if you have questions.",,
"comm.panel.msg.note.disabled","This note has been disabled. Please contact your Project Admin if you have questions.",,
"comm.panel.msg.group.removed","This group has been removed. Please contact your Project Admin if you have questions.",,
"comm.panel.msg.group.disabled","This group has been disabled. Please contact your Project Admin if you have questions.",,
"comm.panel.msg.flag.standing","Your operation cannot be completed because there is already an active flag in the group.",,
"comm.panel.msg.bad.flag","The flag does not exist.",,
"comm.panel.msg.bad.assigned.user","The assigned user does not exist.",,
"comm.panel.msg.flag.already.unset","The flag has already been resolved by the user who raised the flag.",,
"comm.panel.msg.wrong.flag.group","The flag does not belong to this group.",,
"comm.panel.msg.no.active.goal","New flag cannot be set since the work of this scorecard has been completed.",,
"comm.panel.msg.horse.completed","New flag cannot be set since the work of this scorecard has been completed.",,
"comm.panel.msg.flag.no.longer.active","There is no standing flag in this group. This might be because it has been resolved by the  user who set the flag.",,
"comm.panel.msg.flag.reassigned","This flag has been reassigned to others. Your comment is recorded.",,
"comm.panel.msg.already.responded","You already responded to this flag. Your comment is recorded.",,
"comm.panel.msg.no.group.access","You no longer have no access to this group.",,
"common.title.load.discussion","Click to load discussion",,
"common.title.load.private.discussion","Click to load private discussion",,
"common.title.load.reviews","Click to load reviews",,
"common.err.cant_submit_ta.flags_assigned","There are unresolved flags for this task. You may have new or missed flags - or your responses are still under review. Please check on your flag Assignments for this task before submitting again.",,
"common.err.cant_submit_ta.flags_raised","There are unresolved flags for this task. Please resolve all flags before submitting again.",,
"common.btn.analytics","Analytics",,
